Court Type	Court	County	Prefix	First Name	Middle Name	Last Name	Suffix	Title	Address	City	Zip Code	Phone	Email	 
District	325th District Court	Tarrant		Kristina		Denapolis		Associate Judge	200 E Weatherford St	Fort Worth	76196-0233	(817)884-1587	 LKGrimaldi@tarrantcountytx.gov
Municipal	Arlington	Tarrant		Matt		Dixon		Associate Judge	P O Box 90403	Arlington	76004-3403	(817)459-6980	
Municipal	Crowley	Tarrant		Toni	D.	Driver		Associate Judge	201 E Main St	Crowley	76036-0747	(817)297-2201	 kwhite@ci.crowley.tx.us
Municipal	Arlington	Tarrant		Danielle	C.	Dulaney		Associate Judge	P O Box 90403	Arlington	76004-3403	(817)459-6980	
Municipal	Everman	Tarrant		Robert	F.	Dunlap		Associate Judge	212 N Race St	Everman	76140-3297	(817)293-0525 - ext. 302       	 emartinez@evermantx.net
Municipal	Colleyville	Tarrant		Tiffany	M.	Duong		Associate Judge	5201 Riverwalk Dr	Colleyville	76034	(817)503-1300	
Municipal	Keller	Tarrant		Tiffany	M.	Duong		Associate Judge	5201 Riverwalk Dr	Colleyville	76034	(817)503-1301	 krandolph@colleyville.com
		Tarrant		James		Eck		Visiting Judge (local)					
District	233rd District Court	Tarrant		John	T.	Eck		Associate Judge	Child Protection Court No. 2, 200 E Weatherford St, 4th & 5th Fl	Fort Worth	76196	(682)291-9640	
Municipal	Forest Hill	Tarrant		Bobbie		Edmonds		Associate Judge	3219 California Pkwy E	Forest Hill	76119	(817)568-3046	 court@foresthilltx.org
District	Criminal District Court No. 3	Tarrant		Debbie		Edwards		Court Reporter	401 W Belknap, 6th Fl	Fort Worth	76196-0215	(817)884-1359	 sfinney@tarrantcounty.com
District	352nd District Court	Tarrant		Michelle		Escobar		Court Reporter	100 N Calhoun	Fort Worth	76196-7283	(817)884-2732	 klstewart@tarrantcounty.com
Municipal	Arlington	Tarrant		Teresa	W.	Evans		Associate Judge	P O Box 90403	Arlington	76004-3403	(817)459-6980	
Municipal	Pantego	Tarrant		Teresa	W.	Evans		Associate Judge	2600 Miller Ln	Pantego	76013-3336	(817)617-3733	 thouseholder@townofpantego.com
District	348th District Court	Tarrant		Megan	Jo	Fahey		Judge	100 N Calhoun	Fort Worth	76196-0281	(817)884-2715	 348DC@tarrantcounty.com
District	141st District Court	Tarrant		Tina		Fett		Court Reporter	100 N Calhoun	Fort Worth	76196-0224	(817)884-1423	
District	342nd District Court	Tarrant		Kimberly	L.	Fitzpatrick		Judge	100 N Calhoun, 5th Fl	Fort Worth	76196-0320	(817)884-2710	
District	360th District Court	Tarrant		Katherine		Fratantoni		Court Reporter	200 E Weatherford St	Fort Worth	76196-0282	(817)884-2722	 bpterry@tarrantcounty.com
District	348th District Court	Tarrant		Pennie		Futrell		Court Reporter	100 N Calhoun	Fort Worth	76196-0281	(817)884-1790	 348DC@tarrantcounty.com
District	213th District Court	Tarrant		Candace		Fyfe		Court Coordinator	401 W Belknap	Fort Worth	76196-0217	(817)884-1977	 CRWolfe@tarrantcounty.com
District	396th District Court	Tarrant		George	W.	Gallagher		Judge	401 W Belknap	Fort Worth	76196-0215	(817)884-2768	 tllarue@tarrantcounty.com
District	96th District Court	Tarrant		Pat		Gallagher		Judge	100 N Calhoun, 4th Fl	Fort Worth	76196-7921	(817)884-2685	 tjlaffoon@tarrantcounty.com
Municipal	Fort Worth	Tarrant		Laura	E.	Ganoza		Associate Judge	1000 Throckmorton St	Fort Worth	76102	(817)392-6715	 william.rumuly@fortworthtexas.gov
Municipal	Westover Hills	Tarrant		Atticus		Gill		Associate Judge	311 Burton Hill Rd	Fort Worth	76114	(817)710-2507	 lsanchez@cityofwestworth.com
Municipal	Westworth Village	Tarrant		Atticus		Gill		Associate Judge	311 Burton Hill Rd	Fort Worth	76114-4128	(817)710-2507	 lsanchez@cityofwestworth.com
District	432nd District Court	Tarrant		Ruben		Gonzalez	Jr.	Judge	401 W Belknap	Fort Worth	76196-0219	(817)884-2935	 alwills@tarrantcounty.com
Municipal	Fort Worth	Tarrant		Simon	C.	Gonzalez		Associate Judge	1000 Throckmorton St	Fort Worth	76102	(817)392-6715	 william.rumuly@fortworthtexas.gov
Justice of the Peace	Precinct 4 Place 1	Tarrant		Christopher		Gregory		Judge	6713 Telephone Rd, Ste 201	Fort Worth	76135	(817)238-4425	 jp4court@tarrantcountytx.gov
District	325th District Court	Tarrant		Lisa		Grimaldi		Court Coordinator	200 E Weatherford St	Fort Worth	76196-0233	(817)884-1587	 LKGrimaldi@tarrantcountytx.gov
District	17th District Court	Tarrant		Jan		Grimsley		Court Coordinator	100 N Calhoun St, 3rd Fl	Fort Worth	76196-0220	(817)884-1460	
Municipal	Southlake	Tarrant		Gary	Lee	Hach		Associate Judge	600 State St	Southlake	76092	(817)748-8188	 kwhite@ci.southlake.tx.us
District	297th District Court	Tarrant		David	C.	Hagerman		Judge	401 W Belknap	Fort Worth	76196-0229	(817)884-1256	 nmcdonald@tarrantcounty.com
Municipal	Fort Worth	Tarrant		Faye	R.	Harden		Associate Judge	1000 Throckmorton St	Fort Worth	76102	(817)392-6715	 william.rumuly@fortworthtexas.gov
County	County Criminal Court No. 6	Tarrant		Randi		Hartin		Judge	401 W Belknap, 8th Fl	Fort Worth	76196-0275	(817)884-2745	 ckjohnson@tarrantcounty.com
County	County Criminal Court No. 8	Tarrant		Nancy		Hawkins		Court Reporter	401 W Belknap, 7th Fl	Fort Worth	76196-0401	(817)884-3402	 cdyoung2@tarrantcounty.com
District	371st District Court	Tarrant		Jamie	G.	Hein		Court Coordinator	401 W Belknap	Fort Worth	76196-7118	(817)884-2989	 371stDC@Tarrantcounty.com
District	342nd District Court	Tarrant		Joseph		Henderson		Court Coordinator	100 N Calhoun, 5th Fl	Fort Worth	76196-0320	(817)884-2710	
Municipal	Fort Worth	Tarrant		Joseph	Frederick	Henderson		Associate Judge	1000 Throckmorton St	Fort Worth	76102	(817)392-6715	 william.rumuly@fortworthtexas.gov
District	371st District Court	Tarrant		Ryan	Warner	Hill		Judge	401 W Belknap	Fort Worth	76196-7118	(817)884-2985	 371stDC@Tarrantcounty.com
County	Probate Court No. 2	Tarrant		Courtney		Holcomb		Court Coordinator	100 W Weatherford, Rm 20A	Fort Worth	76196-7752	(817)884-2794	 egcastilleja@tarrantcounty.com
Municipal	Fort Worth	Tarrant		Melanie	Ann	Houston		Associate Judge	1000 Throckmorton St	Fort Worth	76102	(817)392-6715	 william.rumuly@fortworthtexas.gov
County	County Court at Law No. 3	Tarrant		Mike		Hrabal		Judge	100 W Weatherford, Rm 290A	Fort Worth	76196-0270	(817)884-1914	 mwblake@tarrantcounty.com
Municipal	Sansom Park	Tarrant		Douglas	R.	Hudman		Presiding Judge	5705 Azle Ave	Sansom Park	76114-1120	(817)626-3791 - ext. 100       	 bgross@sansompark.org
Municipal	Sansom Park	Tarrant		Matthew	R.	Hudman		Associate Judge	5705 Azle Ave	Sansom Park	76114-1120	(817)626-3791 - ext. 100       	 bgross@sansompark.org
Municipal	Dalworthington Gardens	Tarrant		Suzanne		Hudson		Presiding Judge	2600 Roosevelt Dr	Dalworthington Gardens	76016-5809	(817)274-7662	 cityhall@cityofdwg.net
District	324th District Court	Tarrant		Jennifer		Hunter		Court Reporter	200 E Weatherford St	Fort Worth	76196-0232	(817)884-1430	 jlpierce@tarrantcounty.com
Municipal	Blue Mound	Tarrant		Lorraine		Irby		Associate Judge	301 S Blue Mound Rd	Blue Mound	76131-1030	(817)232-7097	 court@bluemoundtexas.us
Municipal	Haltom City	Tarrant		Lorraine		Irby		Presiding Judge	5024 Broadway Ave	Haltom City	76117	(817)222-7773	 mrodriguez@haltomcitytx.com
Municipal	North Richland Hills	Tarrant		Lorraine		Irby		Associate Judge	4301 City Point Dr	N Richland Hills	76180-7901	(817)427-6700	 nrhcourt@nrhtx.com
Municipal	Richland Hills	Tarrant		Lorraine		Irby		Associate Judge	3200 Diana Dr	Richland Hills	76118-6237	(817)616-3825	
Municipal	Saginaw	Tarrant		Lorraine		Irby		Presiding Judge	P O Box 79070	Saginaw	76179-0070	(817)232-4640	
Municipal	Watauga	Tarrant		Lorraine		Irby		Associate Judge	7105 Whitley Rd	Watauga	76148	(817)514-5715	 court@wataugatx.org
Municipal	Fort Worth	Tarrant		Thaddeus	Afamu	Iwuji		Associate Judge	1000 Throckmorton St	Fort Worth	76102	(817)392-6715	 william.rumuly@fortworthtexas.gov
Municipal	Kennedale	Tarrant		Erin		Jackson		Associate Judge	405 Municipal Dr	Kennedale	76060-2249	(817)985-2140	 court@cityofkennedale.com
District	141st District Court	Tarrant		Cori		James		Court Coordinator	100 N Calhoun, 3rd Fl	Fort Worth	76196-0224	(817)884-1992	
District	Criminal District Court No. 4	Tarrant		Jeannie		Jobe		Court Reporter	401 W Belknap	Fort Worth	76196-0216	(817)884-2597	
Municipal	Arlington	Tarrant		Ashley	Westmoreland	Johnson		Associate Judge	P O Box 90403	Arlington	76004-3403	(817)459-6980	
County	County Criminal Court No. 6	Tarrant		Carolyn		Johnson		Court Coordinator	401 W Belknap, 8th Fl	Fort Worth	76196-0275	(817)884-2747	 ckjohnson@tarrantcounty.com
District	Criminal District Court No. 1	Tarrant		Kachelle		Johnson		Court Coordinator	401 W Belknap	Fort Worth	76196-0213	(817)884-1255	 kjohnson@tarrantcounty.com
County	County Court at Law No. 2	Tarrant		Traci	D.	Johnston		Court Reporter	100 W Weatherford, Rm 240A	Fort Worth	76196-0234	(817)884-1846	 araguirre@tarrantcounty.com
District	485th District Court	Tarrant		Steven	T.	Jumes		Judge	401 W Belknap, 8th Fl	Fort Worth	76196	(817)212-7143	 Lmcendree@tarrantcounty.com
District	322nd District Court	Tarrant		Jeffrey	N.	Kaitcer		Associate Judge	200 E Weatherford St	Fort Worth	76196-0230	(817)884-1427	
District	231st District Court	Tarrant		Michael		Kapelowitz		Court Coordinator	200 E Weatherford S	Fort Worth	76196-0226	(817)884-1580	
County	County Criminal Court No. 9	Tarrant		Tiffany		Kapelowitz		Court Coordinator	401 W Belknap, 8th Fl	Fort Worth	76196-7678	(817)884-3413	 lmcendree@tarrantcounty.com
County	Probate Court No. 2	Tarrant		Lynn		Kelly		Associate Judge	100 W Weatherford, Rm 20A	Fort Worth	76196-7752	(817)884-2794	 egcastilleja@tarrantcounty.com
Municipal	Fort Worth	Tarrant		Carla	G.	Kelman		Associate Judge	1000 Throckmorton St	Fort Worth	76102	(817)392-6715	 william.rumuly@fortworthtexas.gov
District	323rd District Court	Tarrant		Alexander	Han Joong	Kim		Judge	2701 Kimbo Rd	Fort Worth	76111-3007	(817)838-4600	 323rdfamilycourt@tarrantcounty.com
Municipal	Southlake	Tarrant		Lindsay		Kinzie		Associate Judge	600 State St	Southlake	76092	(817)748-8188	 kwhite@ci.southlake.tx.us
County	County Court at Law No. 3	Tarrant		Shari		Krieger		Court Reporter	100 W Weatherford, Rm 290A	Fort Worth	76196-0270	(817)884-1916	 mwblake@tarrantcounty.com
Municipal	Dalworthington Gardens	Tarrant		David	Terrell	Kulesz		Associate Judge	2600 Roosevelt Dr	Dalworthington Gardens	76016-5809	(817)274-7662	 cityhall@cityofdwg.net
Municipal	Pantego	Tarrant		David	Terrell	Kulesz		Associate Judge	2600 Miller Ln	Pantego	76013-3336	(817)617-3733	 thouseholder@townofpantego.com
District	96th District Court	Tarrant		Tracy		Laffoon		Court Coordinator	100 N Calhoun	Fort Worth	76196	(817)884-2685	 tjlaffoon@tarrantcounty.com
Municipal	Everman	Tarrant		William (Bill)	Randall	Lane		Presiding Judge	212 N Race St	Everman	76140-3297	(817)293-0525 - ext. 302       	 emartinez@evermantx.net
Municipal	Kennedale	Tarrant		William (Bill)	Randall	Lane		Presiding Judge	405 Municipal Dr	Kennedale	76060-2249	(817)985-2140	 court@cityofkennedale.com
Municipal	Lake Worth	Tarrant		William (Bill)	Randall	Lane		Presiding Judge	3805 Adam Grubb	Lake Worth	76135-2910	(817)255-7910	 court@lakeworthtx.org
Municipal	Pantego	Tarrant		William (Bill)	Randall	Lane		Presiding Judge	2600 Miller Ln	Pantego	76013-3336	(817)617-3733	 thouseholder@townofpantego.com
District	67th District Court	Tarrant		Elaine	M.	Langford		Court Coordinator	100 N Calhoun, 4th Fl	Fort Worth	76196-0222	(817)884-1452	 emlangford@tarrantcounty.com
District	396th District Court	Tarrant		Tommie		Larue		Court Coordinator	401 W Belknap	Fort Worth	76196-0215	(817)884-2765	 tllarue@tarrantcounty.com
Municipal	Forest Hill	Tarrant		Glenn	Oliver	Lewis		Presiding Judge	3219 California Pkwy E	Forest Hill	76119	(817)568-3046	 court@foresthilltx.org
County	County Criminal Court No. 10	Tarrant		Trey	Edward	Loftin		Judge	401 W Belknap, 6th Fl	Fort Worth	76196-7679	(817)884-3423	 JWPeters@tarrantcounty.com
District	Criminal District Court No. 2	Tarrant		Renea		Lopez		Court Coordinator	401 W Belknap	Fort Worth	76196-0214	(817)884-1976	 catoner@tarrantcounty.com
County	County Criminal Court No. 4	Tarrant		Signora		Lott		Court Coordinator	401 W Belknap, 5th Fl	Fort Worth	76196-0239	(817)884-2055	 splott@tarrantcounty.com
District	236th District Court	Tarrant		Thomas	Wilson	Lowe	III	Judge	100 N Calhoun	Fort Worth	76196	(817)884-1709	 rfyoung@tarrantcounty.com
District	372nd District Court	Tarrant		Julie		Lugo		Judge	401 W Belknap	Fort Worth	76196-7119	(817)884-2990	
Municipal	Kennedale	Tarrant		Craig	Alan	Magnuson		Associate Judge	405 Municipal Dr	Kennedale	76060-2249	(817)985-2140	 court@cityofkennedale.com
Municipal	White Settlement	Tarrant		Craig	Alan	Magnuson		Presiding Judge	214 Meadow Park Dr	White Settlement	76108	(817)246-4971	
District	372nd District Court	Tarrant		Karen		Martinez		Court Reporter	401 W Belknap	Fort Worth	76196-7119	(817)884-2996	
County	County Criminal Court No. 3	Tarrant		Rachel		Martinez		Court Coordinator	401 W Belknap, 7th Fl	Fort Worth	76196-0238	(817)884-2595	 mrachelmartinez@tarrantcounty.com
Municipal	Fort Worth	Tarrant		Claudia	A.	Martinez		Associate Judge	1000 Throckmorton St	Fort Worth	76102	(817)392-6715	 william.rumuly@fortworthtexas.gov
District	231st District Court	Tarrant		Shelley		Mayo		Court Reporter	200 E Weatherford St	Fort Worth	76196-0232	(817)884-2724	
District	153rd District Court	Tarrant		Susan	Heygood	McCoy		Judge	100 N Calhoun	Fort Worth	76196-0225	(817)884-2691	 pcannon@tarrantcounty.com
County	County Criminal Court No. 3	Tarrant		Bob		McCoy		Judge	401 W Belknap, 7th Fl	Fort Worth	76196-0238	(817)884-2595	 mrachelmartinez@tarrantcounty.com
District	297th District Court	Tarrant		Nona		McDonald		Court Coordinator	401 W Belknap	Fort Worth	76196-0229	(817)884-1256	 nmcdonald@tarrantcounty.com
Municipal	Fort Worth	Tarrant		Robert	Neel	McDonald		Associate Judge	1000 Throckmorton St	Fort Worth	76102	(817)392-6715	 william.rumuly@fortworthtexas.gov
District	485th District Court	Tarrant		Lori		McEndree		Court Coordinator	401 W Belknap, 8th Fl	Fort Worth	76196	(817)212-7143	 Lmcendree@tarrantcounty.com
County	Probate Court No. 1	Tarrant		Quentin		McGown		Associate Judge	100 W Weatherford, Rm 260A	Fort Worth	76196-0241	(817)212-7238	 probatecourt1@tarrantcounty.com
Municipal	Arlington	Tarrant		Stewart	William	Milner		Presiding Judge	P O Box 90403	Arlington	76004-3403	(817)459-6980	
Municipal	Lake Worth	Tarrant		Jim		Minter		Associate Judge	3805 Adam Grubb	Lake Worth	76135-2910	(817)255-7910	 court@lakeworthtx.org
Municipal	Colleyville	Tarrant		Carol		Montgomery		Presiding Judge	5201 Riverwalk Dr	Colleyville	76034	(817)503-1300	
Municipal	Keller	Tarrant		Carol		Montgomery		Presiding Judge	5201 Riverwalk Dr	Colleyville	76034	(817)503-1301	 krandolph@colleyville.com
Municipal	Southlake	Tarrant		Carol		Montgomery		Presiding Judge	600 State St	Southlake	76092	(817)748-8188	 kwhite@ci.southlake.tx.us
District	342nd District Court	Tarrant		Rachel		Morris		Court Reporter	100 N Calhoun	Fort Worth	76196-0280	(817)884-2712	
District	396th District Court	Tarrant		Lisa		Morton		Court Reporter	401 W Belknap	Fort Worth	76196-0215	(817)884-2767	 tllarue@tarrantcounty.com
District	325th District Court	Tarrant		Kirk		Moss		Court Reporter	200 E Weatherford St	Fort Worth	76196-0233	(817)884-1445	 LKGrimaldi@tarrantcountytx.gov
District	322nd District Court	Tarrant		James	Benjamin	Munford		Judge	200 E Weatherford St	Fort Worth	76196-0230	(817)884-1427	
Municipal	Bedford	Tarrant		Timothy	J.	Murphy		Presiding Judge	2000 Forest Ridge Dr	Bedford	76021	(817)952-2150	 doug.campbell@bedfordtx.gov
Municipal	Euless	Tarrant		Timothy	J.	Murphy		Associate Judge	2000 Forest Ridge	Bedford	76021	(817)952-2154	 cquintero@eulesstx.gov
Municipal	Hurst	Tarrant		Timothy	J.	Murphy		Associate Judge	825-B Thousand Oaks Dr	Hurst	76054-3395	(817)788-7045	 lhoward@hursttx.gov
District	Criminal District Court No. 2	Tarrant		Lorie		Naylor		Court Reporter	401 W Belknap	Fort Worth	76196-0214	(817)884-2837	 catoner@tarrantcounty.com
County	County Criminal Court No. 4	Tarrant		Deborah	L.	Nekhom		Judge	401 W Belknap, 5th Fl	Fort Worth	76196-0239	(817)884-1426	 splott@tarrantcounty.com
District	231st District Court	Tarrant		Jesus	E.	Nevarez	Jr.	Judge	200 E Weatherford St	Fort Worth	76196-0226	(817)884-3796	
District	233rd District Court	Tarrant		Kenneth	E.	Newell		Judge	200 E Weatherford St	Fort Worth	76196-0227	(817)884-1794	
Municipal	Pantego	Tarrant		Michael	S.	Newman		Associate Judge	2600 Miller Ln	Pantego	76013-3336	(817)617-3733	 thouseholder@townofpantego.com
County	County Clerk Office	Tarrant	Ms.	Mary Louise		Nicholson		Clerk	100 W Weatherford, Rm 130	Fort Worth	76196-0401	(817)884-1070	
County	County Court	Tarrant		Timothy		Ohare		Judge	100 E Weatherford, Rm 501	Fort Worth	76196-0101	(817)884-1441	
District	372nd District Court	Tarrant		Lorrie		Parham		Court Coordinator	401 W Belknap	Fort Worth	76196-7119	(817)884-2995	
County	County Court at Law No. 1	Tarrant		Beckee		Partin		Court Reporter	100 W Weatherford, Rm 490	Fort Worth	76196-0240	(817)884-1458	 tlwood@tarrantcounty.com
Municipal	Euless	Tarrant		Terri	Leigh	Pearce		Associate Judge	1102 W Euless Blvd	Euless	76040	(817)685-1466	 cquintero@eulesstx.gov
Municipal	Hurst	Tarrant		Terri	Leigh	Pearce		Associate Judge	825-B Thousand Oaks Dr	Hurst	76054-3395	(817)788-7045	 lhoward@hursttx.gov
Municipal	Crowley	Tarrant		Darla		Peevey		Presiding Judge	201 E Main St	Crowley	76036-0747	(817)297-2201	 kwhite@ci.crowley.tx.us
District	323rd District Court	Tarrant		Kelly		Pelletier		Court Reporter	2701 Kimbo Rd	Fort Worth	76111-3007	(817)838-4600	 323rdfamilycourt@tarrantcounty.com
County	County Criminal Court No. 10	Tarrant		Jason		Peters		Court Coordinator	401 W Belknap, 6th Fl	Fort Worth	76196-7679	(817)884-3423	 JWPeters@tarrantcounty.com
County	County Criminal Court No. 1	Tarrant		Sarah		Phillips		Court Coordinator	401 W Belknap, 5th Fl	Fort Worth	76196-0236	(817)884-1337	
District	324th District Court	Tarrant		Joy		Pierce		Court Coordinator	200 E Weatherford St	Fort Worth	76196-0232	(817)884-1571	 jlpierce@tarrantcounty.com
County	County Court at Law No. 1	Tarrant		Donald	R.	Pierson		Judge	100 W Weatherford, Rm 490	Fort Worth	76196-0240	(817)884-1459	 tlwood@tarrantcounty.com
County	Probate Court No. 1	Tarrant		Christopher	William	Ponder		Judge	100 W Weatherford, Rm 260A	Fort Worth	76196-0241	(817)212-7238	 probatecourt1@tarrantcounty.com
District	Criminal District Court No. 4	Tarrant		William (Andy)	Anthony	Porter		Judge	401 W Belknap	Fort Worth	76196-0216	(817)884-1362	
District	324th District Court	Tarrant		Beth		Poulos		Judge	200 E Weatherford St	Fort Worth	76196-0232	(817)884-1432	 jlpierce@tarrantcounty.com
District	485th District Court	Tarrant		Melissia		Prawl		Court Reporter	401 W Belknap, 8th Fl	Fort Worth	76196	(817)212-7143	 Lmcendree@tarrantcounty.com
Municipal	Edgecliff Village	Tarrant		Paul		Previtte		Presiding Judge	1605 Edgecliff Rd	Edgecliff Village	76134	(817)293-4313	 court@evgov.org
County	County Criminal Court No. 5	Tarrant		Channy		Price		Court Coordinator	401 W Belknap, 6th Fl	Fort Worth	76196-0243	(817)884-2727	 ceprice@tarrantcounty.com
Municipal	Lakeside	Tarrant		Will	A.	Pruitt		Presiding Judge	9834 Confederate Park Rd	Lakeside	76108-9484	(817)237-1234	 dianechambers@lakesidetexas.us
Municipal	Grapevine	Tarrant		Eric		Ranselben		Associate Judge	1027 Ira E Woods Ave	Grapevine	76051	(817)410-3284	 court@grapevinetexas.gov
County		Tarrant		Tamla		Ray	(Criminal)	Magistrate					
District	Criminal District Court No. 1	Tarrant		Andrea		Reed		Court Reporter	401 W Belknap	Fort Worth	76196-0213	(817)884-2893	 kjohnson@tarrantcounty.com
Municipal	Fort Worth	Tarrant		Terry	D.	Reeves		Associate Judge	1000 Throckmorton St	Fort Worth	76102	(817)392-6715	 william.rumuly@fortworthtexas.gov
Municipal	Arlington	Tarrant		JoAnn		Reyes		Associate Judge	P O Box 90403	Arlington	76004-3403	(817)459-6980	
District	360th District Court	Tarrant		Matthew		Riek		Associate Judge	200 E Weatherford St	Fort Worth	76196	(817)884-2720	 bpterry@tarrantcounty.com
District	67th District Court	Tarrant		Monica	A.	Ritchie		Court Reporter	100 N Calhoun	Fort Worth	76196-0222	(817)884-1453	 emlangford@tarrantcounty.com
Municipal	Fort Worth	Tarrant		Danny		Rodgers		Presiding Judge	1000 Throckmorton St	Fort Worth	76102	(817)392-6715	 william.rumuly@fortworthtexas.gov
County	County Court at Law No. 2	Tarrant		Jennifer		Rymell		Judge	100 W Weatherford, Rm 240A	Fort Worth	76196-0234	(817)884-1813	 araguirre@tarrantcounty.com
District	213th District Court	Tarrant		Trashuna		Salaam		Court Reporter	401 W Belknap	Fort Worth	76196-0217	(817)884-1531	 CRWolfe@tarrantcounty.com
District	Criminal District Court No. 2	Tarrant		Wayne	Francis	Salvant		Judge	401 W Belknap	Fort Worth	76196-0214	(817)884-1347	 catoner@tarrantcounty.com
Justice of the Peace	Precinct 7 Place 1	Tarrant		Kenneth	D.	Sanders		Judge	1100 E Broad St, Ste 202	Mansfield	76063	(817)473-5101	 fjrichards@tarrantcounty.com
District	231st District Court	Tarrant		Kevin	J.	Schmid		Associate Judge	200 E Weatherford St	Fort Worth	76196-0226	(817)884-2756	
District	17th District Court	Tarrant		Deana		Scobee		Court Reporter	100 N Calhoun, 3rd Fl	Fort Worth	76196-0220	(817)884-1459	
County	County Criminal Court No. 4	Tarrant		Michelle		Seay		Court Reporter	401 W Belknap, 5th Fl	Fort Worth	76196-0239	(817)884-2917	 splott@tarrantcounty.com
District	323rd District Court	Tarrant		Riley		Shaw		Associate Judge	2701 Kimbo Rd	Fort Worth	76111-3007	(817)838-4600	 323rdfamilycourt@tarrantcounty.com
County	County Criminal Court No. 2	Tarrant		William		Shelton		Court Reporter	401 W Belknap, 6th Fl	Fort Worth	76196-0237	(817)884-2920	 mlchaisson@tarrantcounty.com
District		Tarrant		Greg		Shugart	(Criminal)	Court Administrator	401 W Belknap	Fort Worth	76196-7679	(817)884-2811	
District	48th District Court	Tarrant		Micki		Smith		Court Reporter	100 N Calhoun	Fort Worth	76196-0221	(817)884-1479	 DC48Court@tarrantcounty.com
District	233rd District Court	Tarrant		Luanne		Spurrier		Court Reporter	200 E Weatherford St	Fort Worth	76196-0227	(817)884-1795	
County	County Criminal Court No. 7	Tarrant		Eric		Starnes		Judge	401 W Belknap, 8th Fl	Fort Worth	76196-0276	(817)884-2969	 panglin@tarrantcounty.com
District	352nd District Court	Tarrant		Kay		Stewart		Court Coordinator	100 N Calhoun, 4th Fl	Fort Worth	76196-7283	(817)884-2730	 klstewart@tarrantcounty.com
District	233rd District Court	Tarrant		Kate		Stone		Associate Judge	200 E Weatherford St	Fort Worth	76196-0227	(817)884-1197	
Municipal	Fort Worth	Tarrant		Patricia	L.	Summers		Associate Judge	1000 Throckmorton St	Fort Worth	76102	(817)392-6715	 william.rumuly@fortworthtexas.gov
District	Criminal District Court No. 4	Tarrant		Lee Ann		Swan		Court Coordinator	401 W Beklnap	Fort Worth	76196-0216	(817)884-1980	
Justice of the Peace	Precinct 1 Place 1	Tarrant		Ralph	D.	Swearingin	Jr.	Judge	100 W Weatherford St, Rm 450	Fort Worth	76196-0242	(817)884-1395	 JP1court@tarrantcountytx.gov
District	432nd District Court	Tarrant		Angie		Taylor		Court Reporter	401 W Belknap	Fort Worth	76196-0219	(817)884-2341	 alwills@tarrantcounty.com
District	48th District Court	Tarrant		Christopher	L.	Taylor		Judge	101 N Calhoun	Fort Worth	76196-0221	(817)884-2690	 DC48Court@tarrantcounty.com
District	325th District Court	Tarrant		Cynthia		Terry		Judge	200 E Weatherford St	Fort Worth	76196-0233	(817)884-1587	 LKGrimaldi@tarrantcountytx.gov
District	360th District Court	Tarrant		Brittany		Terry		Court Coordinator	200 E Weatherford St	Fort Worth	76196-0282	(817)884-2899	 bpterry@tarrantcounty.com
County		Tarrant		Mark		Thielman	(Criminal)	Magistrate					
Municipal	River Oaks	Tarrant		D.	Lee	Thomas	Jr.	Associate Judge	4900 River Oaks Blvd	River Oaks	76114-3007	(817)626-1597	 bhernandez@riveroakstx.com
County	County Criminal Court No. 9	Tarrant		Janessa		Thornell		Court Reporter	401 W Belknap, 8th Fl	Fort Worth	76196-7678	(817)884-3412	 lmcendree@tarrantcounty.com
County	County Criminal Court No. 8	Tarrant		Charles	L.	Vanover		Judge	401 W Belknap, 7th Fl	Fort Worth	76196-0401	(817)884-3400	 cdyoung2@tarrantcounty.com
District	322nd District Court	Tarrant		Linda		Vera		Court Reporter	200 E Weatherford St	Fort Worth	76196-0230	(817)884-1428	
Municipal	River Oaks	Tarrant		Andrew	L.	Vogel		Presiding Judge	4900 River Oaks Blvd	River Oaks	76114-3007	(817)626-1597	 bhernandez@riveroakstx.com
District	236th District Court	Tarrant		Jacci		Walker		Court Reporter	100 N Calhoun	Fort Worth	76196-0228	(817)884-1127	 rfyoung@tarrantcounty.com
County	County Criminal Court No. 2	Tarrant		Carey	F.	Walker		Judge	401 W Belknap, 6th Fl	Fort Worth	76196-0237	(817)884-1338	 mlchaisson@tarrantcounty.com
Municipal	Grapevine	Tarrant		Alan	C.	Wayland		Presiding Judge	1027 Ira E Woods Ave	Grapevine	76051	(817)410-3284	 court@grapevinetexas.gov
County		Tarrant		Rainey		Webb	(Criminal)	Magistrate					
Municipal	Arlington	Tarrant		Kathleen		Weisskopf		Associate Judge	P O Box 90403	Arlington	76004-3403	(817)459-6980	
District	233rd District Court	Tarrant		Angie		Wierzbicki		Court Coordinator	200 E Weatherford St	Fort Worth	76196-0227	(817)884-2686	
District	District Clerk Office	Tarrant	Mr.	Thomas	A.	Wilder		Clerk	100 N Calhoun, 2nd Fl	Fort Worth	76196	(817)884-1574	 dclerk@tarrantcounty.com
District	17th District Court	Tarrant		Melody	M.	Wilkinson		Judge	100 N Calhoun St, 3rd Fl	Fort Worth	76196-0220	(817)884-1460	
District	432nd District Court	Tarrant		Letitia		Wills		Court Coordinator	401 W Belknap	Fort Worth	76196-0219	(817)884-2330	 alwills@tarrantcounty.com
District		Tarrant		Sharen		Wilson		Criminal Attorney	401 W Belknap	Fort Worth	76196-0201	(817)884-1400	
